ID 	474675244 sum 	 35.911115672963504 weight 	0.75
ID 	758529971 sum 	 35.07630746458227 weight 	0.75
ID 	1940030785 sum 	 7.482720772052437 weight 	0.7500000000000001
ID 	1617791695 sum 	 49.20965451372793 weight 	0.75
ID 	1068824137 sum 	 25.70523283018819 weight 	0.75
ID 	380894366 sum 	 24.770369067985786 weight 	0.7500000000000002
ID 	1451270520 sum 	 21.69547591390451 weight 	0.7500000000000002
ID 	511833308 sum 	 22.6421885541992 weight 	0.7499999999999998
ID 	1221555852 sum 	 27.57824875726447 weight 	0.7499999999999998
ID 	1252585652 sum 	 46.56718320875481 weight 	0.7499999999999999
ID 	474675244 sum 	 17.955557836481752 weight 	0.5625000000000001
ID 	758529971 sum 	 17.538153732291136 weight 	0.5625000000000001
ID 	1940030785 sum 	 3.7413603860262183 weight 	0.5625000000000001
ID 	1617791695 sum 	 24.604827256863967 weight 	0.5625
ID 	1068824137 sum 	 12.852616415094095 weight 	0.5625
ID 	380894366 sum 	 12.385184533992893 weight 	0.5625000000000001
ID 	1451270520 sum 	 10.847737956952255 weight 	0.5625000000000001
ID 	511833308 sum 	 11.3210942770996 weight 	0.5624999999999999
ID 	1221555852 sum 	 13.789124378632234 weight 	0.5625
ID 	1252585652 sum 	 23.283591604377406 weight 	0.5625
ID 	474675244 sum 	 8.977778918240876 weight 	0.42187499999999983
ID 	758529971 sum 	 8.769076866145568 weight 	0.42187499999999983
ID 	1940030785 sum 	 1.8706801930131092 weight 	0.42187499999999983
ID 	1617791695 sum 	 12.302413628431983 weight 	0.4218749999999998
ID 	1068824137 sum 	 6.426308207547048 weight 	0.4218749999999998
ID 	380894366 sum 	 6.192592266996447 weight 	0.42187499999999983
ID 	1451270520 sum 	 5.423868978476127 weight 	0.42187499999999983
ID 	511833308 sum 	 5.6605471385498 weight 	0.4218749999999997
ID 	1221555852 sum 	 6.894562189316117 weight 	0.4218749999999998
ID 	1252585652 sum 	 11.641795802188703 weight 	0.4218749999999998
ID 	474675244 sum 	 4.488889459120438 weight 	0.31640624999999994
ID 	758529971 sum 	 4.384538433072784 weight 	0.31640624999999994
ID 	1940030785 sum 	 0.9353400965065546 weight 	0.31640624999999994
ID 	1617791695 sum 	 6.151206814215992 weight 	0.3164062499999999
ID 	1068824137 sum 	 3.213154103773524 weight 	0.3164062499999999
ID 	380894366 sum 	 3.0962961334982233 weight 	0.31640624999999994
ID 	1451270520 sum 	 2.7119344892380637 weight 	0.31640624999999994
ID 	511833308 sum 	 2.8302735692749 weight 	0.3164062499999999
ID 	1221555852 sum 	 3.4472810946580585 weight 	0.3164062499999999
ID 	1252585652 sum 	 5.820897901094352 weight 	0.3164062499999999
